;ID;Trial;Time;Montage;Dose;Groups;Lag;Side;Entropy;Replica;Teste
82;ACV;3;6.5;2;2;SHAM-AC;20;R;0.02304231;1;AN
83;ACV;4;14.0;2;0;SHAM-AC;19;R;0.01707355;0;
84;ACV;5;16.5;2;2;SHAM-AC;20;R;0.03263305;1;AN
85;ACV;6;24.0;2;0;SHAM-AC;19;R;0.03437156;0;
86;ACV;7;26.5;2;2;SHAM-AC;19;R;0.03043873;1;AN
87;ACV;8;34.0;2;0;SHAM-AC;19;R;0.02953998;0;
88;ACV;9;36.5;2;3;SHAM-AC;18;R;0.02405307;2;AN
89;ACV;10;44.0;2;0;SHAM-AC;17;R;0.0279132;0;
90;ACV;11;46.5;2;3;SHAM-AC;13;R;0.02841461;2;AN
91;ACV;12;54.0;2;0;SHAM-AC;19;R;0.03421124;0;
92;ACV;13;56.5;2;3;SHAM-AC;18;R;0.0247843;2;AN
93;ACV;14;64.0;2;0;SHAM-AC;15;R;0.02135239;0;
94;ACV;15;66.5;2;1;SHAM-AC;15;R;0.02758999;3;AN
95;ACV;16;74.0;2;0;SHAM-AC;19;R;0.02100928;0;
96;ACV;17;76.5;2;1;SHAM-AC;14;R;0.01675304;3;AN
97;ACV;18;84.0;2;0;SHAM-AC;15;R;0.01917863;0;
98;ACV;19;86.5;2;1;SHAM-AC;13;R;0.02573653;3;AN
99;ACV;20;94.0;2;0;SHAM-AC;18;R;0.01814881;0;
100;ACV;1;2.0;0;0;baseline;19;R;0.03482384;0;
101;ACV;2;4.0;0;0;AC;19;R;0.02737271;0;
102;ACV;3;6.5;0;3;AC;20;R;0.03492082;1;
103;ACV;4;14.0;0;0;AC;20;R;0.04350053;0;
104;ACV;5;16.5;0;3;AC;20;R;0.03093724;1;
105;ACV;6;24.0;0;0;AC;19;R;0.03024978;0;
106;ACV;7;26.5;0;3;AC;20;R;0.03314383;1;
107;ACV;8;34.0;0;0;AC;20;R;0.02640037;0;
108;ACV;9;36.5;0;1;AC;20;R;0.02191131;2;
109;ACV;10;44.0;0;0;AC;20;R;0.02502389;0;
110;ACV;11;46.5;0;1;AC;20;R;0.01855723;2;
111;ACV;12;54.0;0;0;AC;20;R;0.02782616;0;
112;ACV;13;56.5;0;1;AC;18;R;0.02952171;2;
113;ACV;14;64.0;0;0;AC;20;R;0.02888772;0;
114;ACV;15;66.5;0;2;AC;20;R;0.02888772;3;
115;ACV;16;74.0;0;0;AC;20;R;0.02705188;0;
116;ACV;17;76.5;0;2;AC;20;R;0.02849377;3;
117;ACV;18;84.0;0;0;AC;19;R;0.02444005;0;
118;ACV;19;86.5;0;2;AC;18;R;0.02883818;3;
119;ACV;20;94.0;0;0;AC;18;R;0.02394048;0;
120;CFAM;1;2.0;0;0;baseline;11;R;0.08153163;0;
121;CFAM;2;4.0;0;0;AC;15;R;0.08856312;0;
122;CFAM;3;6.5;0;2;AC;16;R;0.07584421;1;
123;CFAM;4;14.0;0;0;AC;20;R;0.06148377;0;
124;CFAM;5;16.5;0;2;AC;16;R;0.07925619;1;
125;CFAM;6;24.0;0;0;AC;16;R;0.06337555;0;
126;CFAM;7;26.5;0;2;AC;11;R;0.07566741;1;
127;CFAM;8;34.0;0;0;AC;15;R;0.05144741;0;
128;CFAM;9;36.5;0;3;AC;12;R;0.05633626;2;
129;CFAM;10;44.0;0;0;AC;12;R;0.06508041;0;
130;CFAM;11;46.5;0;3;AC;20;R;0.05103726;2;
131;CFAM;12;54.0;0;0;AC;11;R;0.0737434;0;
132;CFAM;13;56.5;0;3;AC;13;R;0.05168606;2;
133;CFAM;14;64.0;0;0;AC;17;R;0.03575268;0;
134;CFAM;15;66.5;0;1;AC;20;R;0.03715696;3;
135;CFAM;16;74.0;0;0;AC;15;R;0.04764238;0;
136;CFAM;17;76.5;0;1;AC;15;R;0.06090827;3;
137;CFAM;18;84.0;0;0;AC;13;R;0.06875821;0;
138;CFAM;19;86.5;0;1;AC;11;R;0.03868668;3;
139;CFAM;20;94.0;0;0;AC;10;R;0.05387144;0;
140;CFAM;1;2.0;1;0;baseline;12;R;0.04685763;0;
141;CFAM;2;4.0;1;0;CC;20;R;0.04261681;0;
142;CFAM;3;6.5;1;3;CC;19;R;0.044449;1;
143;CFAM;4;14.0;1;0;CC;11;R;0.04711248;0;
144;CFAM;5;16.5;1;3;CC;20;R;0.03203215;1;
145;CFAM;6;24.0;1;0;CC;20;R;0.02631785;0;
146;CFAM;7;26.5;1;3;CC;20;R;0.05490976;1;
147;CFAM;8;34.0;1;0;CC;20;R;0.03504313;0;
148;CFAM;9;36.5;1;1;CC;13;R;0.04917168;2;
149;CFAM;10;44.0;1;0;CC;20;R;0.04809167;0;
150;CFAM;11;46.5;1;1;CC;20;R;0.05169119;2;
151;CFAM;12;54.0;1;0;CC;20;R;0.03992942;0;
152;CFAM;13;56.5;1;1;CC;20;R;0.05885536;2;
153;CFAM;14;64.0;1;0;CC;10;R;0.06725219;0;
154;CFAM;15;66.5;1;2;CC;11;R;0.07556936;3;
155;CFAM;16;74.0;1;0;CC;8;R;0.06722215;0;
156;CFAM;17;76.5;1;2;CC;13;R;0.07516324;3;
157;CFAM;18;84.0;1;0;CC;20;R;0.02930846;0;
158;CFAM;19;86.5;1;2;CC;20;R;0.03876442;3;
159;CFAM;20;94.0;1;0;CC;13;R;0.07056722;0;
160;CFAM;1;2.0;2;0;baseline;11;R;0.05926817;0;
161;CFAM;2;4.0;2;0;SHAM-AC;12;R;0.08190256;0;
162;CFAM;3;6.5;2;1;SHAM-AC;17;R;0.06798986;1;AN
163;CFAM;4;14.0;2;0;SHAM-AC;17;R;0.05728241;0;
164;CFAM;5;16.5;2;1;SHAM-AC;11;R;0.05760085;1;AN
165;CFAM;6;24.0;2;0;SHAM-AC;11;R;0.05765322;0;
166;CFAM;7;26.5;2;1;SHAM-AC;20;R;0.02795413;1;AN
167;CFAM;8;34.0;2;0;SHAM-AC;10;R;0.06242829;0;
168;CFAM;9;36.5;2;2;SHAM-AC;11;R;0.07723112;2;AN
169;CFAM;10;44.0;2;0;SHAM-AC;20;R;0.03912222;0;
170;CFAM;11;46.5;2;2;SHAM-AC;11;R;0.05333968;2;AN
171;CFAM;12;54.0;2;0;SHAM-AC;13;R;0.07347708;0;
172;CFAM;13;56.5;2;2;SHAM-AC;8;R;0.05992489;2;AN
173;CFAM;14;64.0;2;0;SHAM-AC;13;R;0.05766142;0;
174;CFAM;15;66.5;2;3;SHAM-AC;20;R;0.05507935;3;AN
175;CFAM;16;74.0;2;0;SHAM-AC;10;R;0.060149;0;
176;CFAM;17;76.5;2;3;SHAM-AC;14;R;0.07872285;3;AN
177;CFAM;18;84.0;2;0;SHAM-AC;11;R;0.05811645;0;
